Subject,Topic,Level,Example_Question,Options,Output,Option_Type
Physics,Electric Charges and Fields,Beginner,What is the SI unit of electric charge?,Coulomb | Ampere | Volt | Ohm,Coulomb,Multiple Choice
Physics,Electric Charges and Fields,Intermediate,How does Coulomb’s law describe the force between two charges?,Force is directly proportional to the product of charges and inversely proportional to square of distance | Force is constant | Force is unrelated to distance | Force is inversely proportional to the product of charges,Force is directly proportional to the product of charges and inversely proportional to square of distance,Multiple Choice
Physics,Electric Charges and Fields,Advanced,Derive the expression for electric field intensity due to a point charge.,E = kq/r² | E = q/k | E = kr/q | E = q²/kr,E = kq/r²,Multiple Choice
Physics,Electrostatics,Beginner,What is an electric field?,Region around a charge where its force is experienced | Flow of electric current | Movement of protons | Electric potential energy,Region around a charge where its force is experienced,Multiple Choice
Physics,Electrostatics,Intermediate,What is the principle of superposition in electrostatics?,Net force is the vector sum of individual forces | Charges can overlap | Electrons split into two | Charges can be destroyed,Net force is the vector sum of individual forces,Multiple Choice
Physics,Electrostatics,Advanced,Explain Gauss’s law and its application to a spherical charge distribution.,It states that the total electric flux through a closed surface is equal to the charge enclosed divided by permittivity | It defines electric potential | It measures electric resistance | It determines magnetic field strength,It states that the total electric flux through a closed surface is equal to the charge enclosed divided by permittivity,Multiple Choice
Physics,Current Electricity,Beginner,What is the formula for Ohm's Law?,V = IR | P = IV | R = V/I | I = VR,V = IR,Multiple Choice
Physics,Current Electricity,Intermediate,How does resistance change with temperature?,It increases in conductors | It decreases in insulators | It remains constant | It fluctuates randomly,It increases in conductors,Multiple Choice
Physics,Current Electricity,Advanced,Derive the expression for power in an electric circuit using Ohm's law.,P = V²/R | P = IR² | P = I²V | P = V/R,P = V²/R,Multiple Choice
Physics,Magnetism,Beginner,What is the unit of magnetic field strength?,Tesla | Volt | Ampere | Newton,Tesla,Multiple Choice
Physics,Magnetism,Intermediate,What is the magnetic field due to a straight current-carrying conductor?,B = μ₀I/2πr | B = μ₀Ir² | B = μ₀I² | B = μ₀/Ir,B = μ₀I/2πr,Multiple Choice
Physics,Magnetism,Advanced,Derive Ampere's circuital law and apply it to a solenoid.,∮B·dl = μ₀I | B = μ₀nI | B = μ₀I/2πr | B = μ₀/4π,∮B·dl = μ₀I,Multiple Choice
Physics,Electromagnetic Induction,Beginner,What is electromagnetic induction?,Generation of emf due to changing magnetic field | Flow of current through resistor | Resistance in AC | Voltage in capacitor,Generation of emf due to changing magnetic field,Multiple Choice
Physics,Electromagnetic Induction,Intermediate,State Faraday’s laws of electromagnetic induction.,Emf is induced when magnetic flux changes | Voltage increases with distance | Resistance doubles with current | Charge is always conserved,Emf is induced when magnetic flux changes,Multiple Choice
Physics,Electromagnetic Induction,Advanced,Derive the expression for induced EMF in a moving conductor.,ε = Blv | ε = B/v | ε = l/v | ε = B/l,ε = Blv,Multiple Choice
Physics,Alternating Current,Beginner,What is the frequency of standard AC supply in most countries?,50 Hz | 60 Hz | 100 Hz | 120 Hz,50 Hz,Multiple Choice
